Designator,Comment,Footprint,Mid X,Mid Y,Layer,Rotation
C2,0.1uF,402,157.099mm,33.528mm,B,90
C3,0.1uF,402,159.639mm,52.324mm,B,270
P1,Header 5,HDR1X5,160.528mm,49.403mm,B,180
P2,Salinity,SALINITY,160.797mm,56.896mm,B,180
R1,500x,3-0603,156.972mm,41.148mm,B,90
R2,25k,3-0603,158.75mm,41.148mm,B,270
R3,25X,3-0603,160.274mm,42.799mm,B,90
R4,600X,3-0603,157.734mm,43.942mm,B,180
U2,LT3092EDD#PBF,LT-DD-8_V,157.734mm,36.957mm,B,270
U5,Temp,BGA4_TMP103,161.471mm,52.251mm,B,180
C1,0.1uF,402,156.464mm,37.592mm,T,90
C4,1.0uF,402,162.179mm,44.323mm,T,90
C5,0.1uF,402,166.243mm,45.593mm,T,270
C6,10nF,402,165.354mm,41.021mm,T,180
C7,10uF,Tant0805,165.608mm,33.274mm,T,180
C8,0.1uF,402,165.608mm,34.544mm,T,180
P3,HDR_5x1_2mm,Hdr_5x1_2mm,160.718mm,30.988mm,T,90
U1,ts3a5018,ts3a5018_VQFN,157.226mm,41.783mm,T,90
U3,LTC1966,MSOP8-LTC1966,164.125mm,44.3115mm,T,270
U4,MCP3423-E/MF,DFN-MF10,162.941mm,37.084mm,T,270
